SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
190,KKR/TS/190,ORISON ,MADAN JHA ,20/10/2022,B/172,20/10/2022,27/11/2023,,,,,,
,,,,,MV/13,30/11/2023,,,,,,,
191,KKR/TS/191,BAJAJ ,MADAN JHA ,20/10/2022,,,,,,,,,
,,,MANISH,13/03/2023,B/254,31/03/2023,,,,,,,
192,KKR/TS/192,BAJAJ ,MADAN JHA ,20/10/2022,,,,FAN GOT BURN ON 24/06/2023,24/06/2023,,,,
,,,MANISH,10/11/2022,C/42,12/11/2022,24/06/2023,,,,,,
,,,MANISH,09/09/2023,,,,,,,,,
193,KKR/TS/193,ORISON ,,,,,,,,,,,
,,,MANISH,24/11/2022,,,,,,,,,
194,KKR/TS/194,BAJAJ,,,,,,,,,,,
,,,MANISH,05/12/2022,B/307,29/12/2022,,,,,,,
195,KKR/TS/195,ORTEM ,MANISH,21/01/2023,,,,,,,,,
,,,,,B/126,27/01/2023,22/04/2023,,,,,,
,,,,,,,,,,,,,
196,KKR/TS/196,ORISON ,MADAN JHA,02/12/2022,,,,NA,,,,,
,,,,,,,,,,,,,
197,KKR/TS/197,BAJAJ BROWN ,MADAN JHA,02/12/2022,,,,,,,,,
,,,MANISH,21/01/2023,MJ/03,04/02/2023,,,,,,,
198,KKR/TS/198,ORISON ,MADAN JHA,,,,,,,,,,
,,,MANISH,04/12/2022,,,,?,,,,,
,,,MANISH,02/04/2023,,,,,,,,,
199,KKR/TS/199,ORISON ,NEERAJ,08/05/2024,MD/13,11/05/2024,,,,,,,
200,KKR/TS/200,BAJAJ,MADAN JHA,20/10/2022,B/294,23/10/2022,,,,,,,
201,KKR/TS/201,ORIENT,MADAN JHA,28/09/2022,,,,,,,,,
,,,MANISH,13/03/2023,MG/25,22/07/2023,29/07/2023,,,,,,
,,,MANISH,06/08/2023,,,,,,,,,
202,KKR/TS/202,ORISON ,MADAN JHA,20/10/2022,MW/14,20/10/2022,05/05/2024,,,,,,
,,,NEERAJ,12/05/2024,,,,,,,,,
203,KKR/TS/203,ORISON ,MADAN JHA,20/10/2022,,,,,,,,,
