SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
916,KKR/TS/916,ORTEM ,MANISH ,02/06/2023,,,,NA,,,,,
917,KKR/TS/917,ORTEM,MANISH ,02/06/2023,,,,NA,,,,,
918,KKR/TS/918,CROMPTON ,MANISH ,01/06/2023,,,,NA,,,,,
919,KKR/TS/919,BAJAJ ,MANISH ,22/06/2023,C/09,25/06/2023,,,,,,,
920,KKR/TS/920,USHA,COIL CUT,09/06/2023,,,,,,,,,
,,,MANISH ,04/10/2023,MI/02,05/10/2023,26/02/2024,,,,,,
921,KKR/TS/921,GANESH,,,B/63,06/06/2023,,,,,,,
922,KKR/TS/922,ORISON ,MANISH,11/06/2023,B/167,21/05/2019,10/06/2023,,,,,,
,,,,,O/CLUB,12/06/2023,,,,,,,
923,KKR/TS/923,CROMPTON ,,,B/167,11/04/2023,,,,,,,
924,KKR/TS/924,CROMPTON ,,,B/167,11/04/2023,,,,,,,
925,KKR/TS/925,BAJAJ ,MANISH ,,B/292,10/06/2023,,,,,,,
926,KKR/TS/926,ORISON ,MANISH ,,O/CLUB,12/06/2023,,,,,,,
927,KKR/TS/927,ORISON ,MANISH ,,O/CLUB,12/06/2023,,,,,,,
928,KKR/TS/928,KHAITAN ,MANISH ,,MB/33,13/07/2023,,,,,,,
929,KKR/TS/929,BAJAJ ,MANISH ,,GMO,11/06/2023,,,,,,,
930,KKR/TS/930,ORTEM,MANISH ,,B/96,13/06/2023,,,,,,,
931,KKR/TS/931,ORIENT ,MANISH ,03/06/2023,,,,NA,,,,,
932,KKR/TS/932,GANESH ,MV/25,,B/206,14/03/2024,,,,,,,
,,,,,MV/25,13/06/2023,,,,,,,
933,KKR/TS/933,ORISON ,MV/25,,MV/25,13/06/2023,01/08/2023,,,,,,
,,,MANISH ,02/08/2023,B/149,03/08/2023,,,,,,,
934,KKR/TS/934,CROMPTON ,MV/25,,MV/25,13/06/2023,,,,,,,
935,KKR/TS/935,USHA(B),ME/27,13/06/2023,B/63,20/06/2023,,,,,,,
936,KKR/TS/936,ORIENT ,ME/27,13/06/2023,MP/29,13/06/2023,,,,,,,
937,KKR/TS/937,ORIENT ,MA/14,,,,,NA,,,,,
938,KKR/TS/938,ORISON ,MA/14,,C/42,24/06/2023,,,,,,,
939,KKR/TS/939,USHA (B),MA/14,,,,,,,,,,
,,,MANISH ,24/06/2023,C/53,25/06/2023,,,,,,,
,,USHA,,,B/196,24/06/2023,,,,,,,
940,KKR/TS/940,ORISON ,B/110,,,,,NA,,,,,
941,KKR/TS/941,ORISON ,B/70,,,,,NA,,,,,
942,KKR/TS/942,ORISON ,B/70,,MQ/32,11/07/2023,,,,,,,
,,ORISON ,,,B/97,10/07/2023,,,,,,,
943,KKR/TS/943,ORISON ,B/70,,ML/29,23/03/2023,,,,,,,
944,KKR/TS/944,GANESH,B/70,,UBI,28/06/2023,,,,,,,
945,KKR/TS/945,GANESH (B),MW/13,30/06/2023,C/04,01/07/2023,,,,,,,
946,KKR/TS/946,GANESH (B),MW/13,30/06/2023,MV/40,01/07/2023,,,,,,,
947,KKR/TS/947,USHA (S),MW/13,30/06/2023,B/160,30/06/2023,,,,,,,
948,KKR/TS/948,USHA (B),,,B/233,05/07/2023,,,,,,,
949,KKR/TS/949,GANESH (B),,,,,,NA,,,,,
950,KKR/TS/950,GANESH (B),,,,,,NA,,,,,
951,KKR/TS/951,ORIENT ,MANISH ,10/06/2023,MADARSHA,09/09/2023,,,,,,,
,,,,,B/211,18/09/2019,05/09/2023,,,,,,
952,KKR/TS/952,USHA (B),MANISH ,25/12/2023,B/301,25/12/2022,,,,,,,
953,KKR/TS/953,USHA (B),MANISH ,25/12/2023,B/301,25/12/2022,,,,,,,
954,KKR/TS/954,GANESH (B),,,,,,NA,,,,,
955,KKR/TS/955,GANESH (B),,,,,,NA,,,,,
956,KKR/TS/956,GANESH (B),,,,,,NA,,,,,
957,KKR/TS/957,GANESH (B),ML/33,26/12/2023,,,,NA,,,,,
958,KKR/TS/958,ORISON,ML/33,26/12/2023,,,,NA,,,,,
959,KKR/TS/959,ORISON,ML/33,26/12/2023,B/97,4/1/2024,,,,,,,
960,KKR/TS/960,ORISON,B/180,27/12/2023,,,,NA,,,,,
961,KKR/TS/961,ORIENT ,B/180,27/12/2023,,,,NA,,,,,
962,KKR/TS/962,KHAITAN,B/180,27/12/2023,,,,NA,,,,,
963,KKR/TS/963,ORISON,GMO,28/12/2023,,,,NA,,,,,
964,KKR/TS/964,ANCHOR,GMO,28/12/2023,,,,NA,,,,,
965,KKR/TS/965,ORISON,GMO,28/12/2023,B/42,27/03/2024,,,,,,,
966,KKR/TS/966,ORISON,GMO,28/12/2023,,,,NA,,,,,
967,KKR/TS/967,BERLIA,GMO,28/12/2023,,,,NA,,,,,
968,KKR/TS/968,GANESH (B),GMO,28/12/2023,MB/03,05/03/2024,,,,,,,
969,KKR/TS/969,GANESH (B),GMO,28/12/2023,,,,NA,,,,,
970,KKR/TS/970,ORIENT ,GMO,28/12/2023,,,,NA,,,,,
971,KKR/TS/971,ORTEM,GMO,28/12/2023,,,,NA,,,,,
972,KKR/TS/972,GANESH (B),,,MP/36,,,NA,,,,,
973,KKR/TS/973,GEC,OK FROM B/58,,,,,NA,,,,,
974,KKR/TS/974,KHAITAN ,OK FROM B/58,,B/96,14/02/2024,,,,,,,
975,KKR/TS/975,GANESH (B),,,,,,NA,,,,,
976,KKR/TS/976,ORISON ,,,MC/09,16/02/2024,,,,,,,
977,KKR/TS/977,ORISON ,,,B/64,15/03/2024,,,,,,,
978,KKR/TS/978,USHA,NIRAJ & PAWAN ,07/03/2024,B/291,10/3/2024,,,,,,,
979,KKR/TS/979,BAJAJ ,NIRAJ & PAWAN ,07/03/2024,MD/26,09/03/2024,,,,,,,
980,KKR/TS/980,BAJAJ BAHAR,,,,,,NA,,,,,
981,KKR/TS/981,GANESH (B),,,B/298,21/08/2022,,,,,,,
982,KKR/TS/982,GANESH (B),,,B/298,21/08/2022,,,,,,,
983,KKR/TS/983,BAJAJ,,,B/298,21/08/2022,,,,,,,
984,KKR/TS/984,ORISON,,,B/82,21/02/2024,,,,,,,
,,,PAWAN,29/05/2024,,,,,,,,,
,,USHA,,,MC/09,23/04/2019,16/02/2024,,,,,,
985,KKR/TS/985,CROMPTON ,PAWAN,09/03/2024,,,,NA,,,,,
986,KKR/TS/986,GANESH (B),,,MB/02,22/02/2024,,,,,,,
987,KKR/TS/987,ORISON,NEERAJ PAWAN,24/02/2024,,,,NA,,,,,
988,KKR/TS/988,ORISON,NIRAJ AND PAWAN,24/02/2024,B/267,13/03/2024,,,,,,,
,,,,,,,,,,,,,
989,KKR/TS/989,ORISON,NIRAJ AND PAWAN,24/02/2024,B/135,20/03/2024,,,,,,,
990,KKR/TS/990,ORTEM,,,B/198,23/02/2024,08/03/2024,,,,,,
991,KKR/TS/991,USHA (B),,,B/54,20/02/2021,,,,,,,
992,KKR/TS/992,GANESH (B),,,B/54,20/02/2021,,,,,,,
993,KKR/TS/993,USHA (B),,,MI/30,02/03/2020,,,,,,,
994,KKR/TS/994,CROMPTON ,,,MI/30,02/03/2020,,,,,,,
995,KKR/TS/995,ORISON,,,MN/18,12/04/2024,,,,,,,
,,,,,B/64,15/03/2024,08/042024,,,,,,
996,KKR/TS/996,KHAITAN ,,,MB/02,25/02/2024,,,,,,,
,,,NEERAJ,22/04/2024,MB/02,25/02/2024,,,,,,,
997,KKR/TS/997,ORISON ,NIRAJ & PAWAN,07/03/2024,B/187,08/03/2024,15/05/2024,,,,,,
998,KKR/TS/998,ORISON ,NIRAJ & PAWAN,07/03/2024,,,,NA,,,,,
999,KKR/TS/999,ORISON ,NIRAJ & PAWAN,07/03/2024,,,,NA,,,,,
1000,KKR/TS/1000,ORISON ,PAWAN,09/03/2024,,,,NA,,,,,
1001,KKR/TS/1001,ORIENT,MANISH ,10/05/2023,ML/23,22/07/2023,,,,,,,
1002,KKR/TS/1002,ORIENT,MANISH ,28/04/2023,,,,,,,,,
,,ZOLTA,,,SSM,,,,,,,,
1003,KKR/TS/1003,GEC,,,,,,NA,,,,,
1004,KKR/TS/1004,ORTEM,MANISH ,28/04/2023,SSM,,,,,,,,
1005,KKR/TS/1005,BAJAJ ,INSTALLED ,28/04/2023,MH/38,28/04/2023,,,,,,,
1006,KKR/TS/1006,ORISON ,INSTALLED ,28/04/2023,MH/38,28/04/2023,,,,,,,
1007,KKR/TS/1007,ORISON ,INSTALLED ,28/04/2023,MH/38,28/04/2023,,,,,,,
1008,KKR/TS/1008,BERLIA,BD MB/21,MB/21,,,,,,,,,
,,,MANISH ,12/09/2023,MG/35,15/09/2023,,,,,,,
1009,KKR/TS/1009,KHAITAN,MANISH ,28/04/2023,SSM,,,,,,,,
1010,KKR/TS/1010,BERLIA ,OK MB/21,,D/07,07/06/2023,,,,,,,
1011,KKR/TS/1011,USHA (B),OK B/286,,MN/22,01/05/2023,,,,,,,
1012,KKR/TS/1012,USHA ,OK B/286,,C/09,25/06/2023,,,,,,,
1013,KKR/TS/1013,BAJAJ,OK B/286,,B/311,03/05/2023,,,,,,,
1014,KKR/TS/1014,ORISON ,OK B/286,,B/153,01/05/2023,,,,,,,
1015,KKR/TS/1015,GANESH ,OK B/159,,B/69,02/05/2023,,,,,,,
1016,KKR/TS/1016,GANESH ,OK B/159,,B/139,02/05/2023,,,,,,,
1017,KKR/TS/1017,GANESH ,OK B/159,,B/267,03/05/2023,,,,,,,
1018,KKR/TS/1018,USHA ,OK B/159,,D/02,02/05/2023,,,,,,,
1019,KKR/TS/1019,ORISON ,MANISH ,03/05/2023,,,,NA,,,,,
1020,KKR/TS/1020,ORISON ,MANISH ,04/05/2023,,,,NA,,,,,
1021,KKR/TS/1021,CROMPTON ,MANISH ,04/05/2023,,,,NA,,,,,
1022,KKR/TS/1022,KHAITAN ,MANISH ,,,,,NA,,,,,
1023,KKR/TS/1023,ORTEM ,MANISH ,04/05/2023,,,,NA,,,,,
1024,KKR/TS/1024,ORISON ,MANISH ,04/05/2023,GMO,05/05/2023,,ALUMUM WINDING CUT,,,,,
,,,NEERAJ,08/05/2024,MQ/37,09/05/2024,,,,,,,
1025,KKR/TS/1025,USHA,MANISH ,05/05/2023,,,,NA,,,,,
1026,KKR/TS/1026,ORIENT ,MANISH ,05/05/2023,B/172,05/05/2023,28/08/2023,,,,,,
,,,MANISH ,13/10/2023,,,,,,,,,
1027,KKR/TS/1027,ORTEM,MANISH ,05/05/2023,MB/37,09/05/2023,10/05/2023,,,,,,
,,,,,B/193,08/05/2023,08/05/2023,,,,,,
1028,KKR/TS/1028,USHA ,MANISH ,05/05/2023,MV/38,06/05/2023,,,,,,,
1029,KKR/TS/1029,KHAITAN ,MANISH ,06/05/2023,B/275,07/05/2023,,,,,,,
1030,KKR/TS/1030,KHAITAN ,MANISH ,06/05/2023,,,,NA,,,,,
1031,KKR/TS/1031,ORISON ,MANISH ,06/05/2023,,,,NA,,,,,
,,,,,,,,,,,,,
1032,KKR/TS/1032,ORIENT ,MANISH ,07/05/2023,B/297,09/05/2023,,,,,,,
,,,MANISH ,08/05/2023,,,,,,,,,
1033,KKR/TS/1033,ANCHOR ,,,C/52,11/05/2023,,,,,,,
1034,KKR/TS/1034,BERLIA,,,C/52,11/05/2023,,,,,,,
1035,KKR/TS/1035,KHAITAN,MANISH,10/05/2023,MW/15,12/05/2023,,,,,,,
,,,RAHUL,02/04/2024,,,,,,,,,
1036,KKR/TS/1036,USHA (B),MANISH,10/05/2023,,,,NA,,,,,
1037,KKR/TS/1037,ORISON ,MANISH ,10/05/2023,B/160,11/11/2023,,,,,,,
1038,KKR/TS/1038,ORIENT ,MANISH ,11/05/2023,MG/25,22/07/2023,29/07/2023,,,,,,
,,,MANISH,17/11/2023,,,,,,,,,
,,ORISON,PAWAN,30/05/2024,,,,NA,,,,,
1039,KKR/TS/1039,GANESH ,MANISH ,12/05/2023,B/192,02/08/2023,,,,,,,
1040,KKR/TS/1040,GANESH (B),MANISH ,12/05/2023,,,,NA,,,,,
,,,NEERAJ,15/05/2024,,,,,,,,,
1041,KKR/TS/1041,CROMPTON ,MANISH ,12/05/2023,,,,NA,,,,,
1042,KKR/TS/1042,KHAITAN ,MANISH ,13/05/2023,,,,NA,,,,,
1043,KKR/TS/1043,GANESH (S),,,MW/25,15/05/2023,,,,,,,
1044,KKR/TS/1044,,,,,,,NA,,,,,
1045,KKR/TS/1045,GEC GOLDLINE ,,,C/12,21/05/2023,,,,,,,
1046,KKR/TS/1046,ORISON ,B/253,,B/206,28/05/2023,11/03/2024,,,,,,
1047,KKR/TS/1047,ORISON ,B/253,,B/131,31/05/2023,,,,,,,
1048,KKR/TS/1048,BAJAJ ,B/253,,,,,,,,,,
,,,MANISH ,05/09/2023,,,,NA,,,,,
1049,KKR/TS/1049,ORISON ,MANISH ,25/05/2023,B/131,31/05/2023,08/04/2024,,,,,,
,,,NEERAJ,21/04/2024,,,,,,,,,
1050,KKR/TS/1050,ORIENT ,MANISH ,03/06/2023,,,,,,,,,
,,,MANISH ,24/11/2023,,,,NA,,,,,
1051,KKR/TS/1051,USHA,MANISH ,03/06/2023,,,,NA,,,,,
1052,KKR/TS/1052,ORTEM ,MANISH ,03/06/2023,,,,NA,,,,,
1053,KKR/TS/1053,RAMSON,MANISH ,05/06/2023,MH/03,07/06/2023,07/12/2023,,,,,,
,,,,,MV/05,13/12/2023,,,,,,,
,,,,,,,,,,,,,
1054,KKR/TS/1054,USHA,MANISH ,05/06/2023,MH/09,09/06/2023,,SVM KA FAN,,,,,
1055,KKR/TS/1055,ORISON ,TO BE CHECK,,,,,NEED TO BE CHECK,,,,,
,,,MANISH ,08/06/2023,C/29,10/06/2023,26/03/2024,,,,,,
,,,,,B/247,28/03/2024,,,,,,,
1056,KKR/TS/1056,USHA ,MANISH ,10/06/2023,C/56,21/06/2023,,,,,,,
1057,KKR/TS/1057,BAJAJ ,MANISH ,11/06/2023,,,,NA,,,,,
1058,KKR/TS/1058,USHA (B),MANISH ,11/06/2023,,,,NA,,,,,
1059,KKR/TS/1059,USHA (B),MANISH ,11/06/2023,MD/40,12/06/2023,,,,,,,
1060,KKR/TS/1060,ORISON ,BD,,,,,NEED TO BE CHECK,,,,,
,,,MANISH ,14/06/2023,B/268,15/06/2023,,,,,,,
1061,KKR/TS/1061,BAJAJ ,MANISH ,14/06/2023,B/167,15/06/2023,,,,,,,
1062,KKR/TS/1062,ORIENT ,MANISH ,14/06/2023,MG/29,22/07/2023,,,,,,,
1063,KKR/TS/1063,BAJAJ ,MANISH ,14/06/2023,MC/22,16/06/2023,20/07/2023,,,,,,
,,,,,ML/23,22/07/2023,22/07/2023,,,,,,
,,,MANISH ,24/08/2023,MW/09,31/08/2023,,,,,,,
1064,KKR/TS/1064,ANCHOR ,MD/30,,MD/30,24/3/2022,,,,,,,
1065,KKR/TS/1065,BERLIA,,,MD/30,24/3/2022,,,,,,,
1066,KKR/TS/1066,ORISON ,MANISH,16/06/2023,MC/17,16/07/2023,,,,,,,
1067,KKR/TS/1067,USHA ,,,B/254,21/06/2023,,,,,,,
1068,KKR/TS/1068,ORISON ,MANISH,21/06/2023,MD/18,23/06/2023,,,,,,,
,,BAJAJ ,MANISH,16/08/2023,,,,NA,,,,,
1069,KKR/TS/1069,ORISON ,MANISH,21/06/2023,,,,NA,,,,,
1070,KKR/TS/1070,BAJAJ ,MANISH,21/06/2023,MV/21,23/06/2023,,,,,,,
1071,KKR/TS/1071,BAJAJ ,MANISH,22/06/2023,MD/05,10/07/2023,,,,,,,
1072,KKR/TS/1072,ORISON ,MANISH,22/06/2023,,,,NA,,,,,
1073,KKR/TS/1073,ORISON ,MANISH,22/06/2023,,,,NA,,,,,
1074,KKR/TS/1074,GANESH (B),MANISH,22/06/2023,B/196,24/06/2023,,,,,,,
1075,KKR/TS/1075,GANESH (B),MANISH,22/06/2023,B/196,24/06/2023,,,,,,,
1076,KKR/TS/1076,BAJAJ ,MANISH,22/06/2023,,,,,,,,,
,,,MANISH,12/09/2023,B/312,12/09/2023,,,,,,,
1077,KKR/TS/1077,BERLIA ,,,MJ/08,22/06/2023,,,,,,,
1078,KKR/TS/1078,ORIENT ,,,,,,NA,,,,,
1079,KKR/TS/1079,ORIENT ,MANISH,24/06/2023,MG/33,22/07/2023,,,,,,,
1080,KKR/TS/1080,ZOLTA,MANISH,24/06/2023,B/187,29/06/2023,23/07/2023,,,,,,
1081,KKR/TS/1081,BAJAJ ,MANISH,24/06/2023,C/42,25/06/2023,,,,,,,
,,,,,,,,,,,,,
1082,KKR/TS/1082,ORIENT ,,,MI/36,18/4/2021,,,,,,,
,,,MANISH,24/06/2023,MG/37,22/07/2023,18/10/2023,,,,,,
,,,,,MA/35,23/10/2023,,,,,,,
1083,KKR/TS/1083,GANESH (S),MANISH,25/06/2023,ME/21,26/06/2023,,,,,,,
,,GANESH (S),,,MB/03,05/03/2024,,,,,,,
1084,KKR/TS/1084,USHA,MANISH,25/06/2023,MB/17,26/06/2023,,,,,,,
1085,KKR/TS/1085,USHA,MANISH,25/06/2023,MD/05,10/07/2023,15/09/2023,,,,,,
,,,MANISH,13/10/2023,,,,?,,,,,
,,,MANISH,10/12/2023,,,,?,,,,,
1086,KKR/TS/1086,USHA (B),MANISH,25/06/2023,MX/24,22/07/2023,,,,,,,
1087,KKR/TS/1087,USHA,MANISH,25/06/2023,B/149,22/07/2023,,,,,,,
1088,KKR/TS/1088,GANESH (B),MANISH,25/06/2023,B/311,13/07/2023,,,,,,,
1089,KKR/TS/1089,KHAITAN ,MANISH,01/07/2023,,,,NA,,,,,
1090,KKR/TS/1090,ORTEM,MANISH ,01/07/2023,MC/35,28/09/2022,19/10/2022,,,,,,
,,,,,B/291,09/03/2024,,,,,,,
1091,KKR/TS/1091,ANCHOR ,MANISH ,01/07/2023,MW/28,29/07/2023,,,,,,,
,,GANESH,MANISH,27/06/2023,MD/38,04/07/2023,13/08/2023,,,,,,
,,,MANISH,24/08/2023,B/172,28/08/2023,27/11/2023,,,,,,
,,BAJAJ,,,B/313,19/09/2023,,,,,,,
1092,KKR/TS/1092,GANSH (B),MANISH,03/07/2023,,,,NA,,,,,
1093,KKR/TS/1093,BAJAJ,MANISH,04/07/2023,,,,NA,,,,,
1094,KKR/TS/1094,BAJAJ,MANISH,04/07/2023,,,,NA,,,,,
1095,KKR/TS/1095,CROMPTON,MANISH,05/07/2023,,,,NA,,,,,
,,ORIENT,,,B/187,23/07/2023,15/05/2024,,,,,,
,,,,,MC/40,15/05/2024,,,,,,,
1096,KKR/TS/1096,ORISON,MANISH,05/07/2023,GMO,07/07/2023,,,,,,,
,,,MANISH,10/10/2023,,,,?,,,,,
1097,KKR/TS/1097,GANSH (B),MANISH,05/07/2023,MV/12,07/05/2023,30/07/2023,,,,,,
,,BAJAJ,,,MX/13,04/07/2023,,,,,,,
,,,,,B/315,06/03/2024,,,,,,,
1098,KKR/TS/1098,ANCHOR,MANISH,05/07/2023,,,,NA,,,,,
1099,KKR/TS/1099,GANESH (B),MANISH ,05/07/2023,B/114,22/12/2023,,,,,,,
,,,NEERAJ,15/05/2024,,,,?,,,,,
1100,KKR/TS/1100,GANESH (B),MANISH ,06/07/2023,B/235,06/07/2023,,,,,,,
1101,KKR/TS/1101,GANESH,,,,,,NA,,,,,
,,,,,,,,,,,,,
,,BAJAJ ,MANISH,07/07/2023,13/07/2023,MG/35,,,,,,,
,,,,,,,,,,,,,
1102,KKR/TS/1102,ZOLTA ,,,,,,,,,,,
1103,KKR/TS/1103,GANESH (B),MANISH ,06/07/2023,B/157,10/07/2023,10/02/2024,,,,,,
,,,NEERAJ,15/05/2024,ME/24,10/03/2024,,,,,,,
1104,KKR/TS/1104,GANESH ,MANISH,07/07/2023,MQ/08,07/07/2023,,,,,,,
1105,KKR/TS/1105,GANESH ,MANISH,08/07/2023,MC/13,10/07/2023,13/02/2024,,,,,,
1106,KKR/TS/1106,ORISON,,,,,,,,,,,
,,,,,B/304,16/07/2023,,,,,,,
1107,KKR/TS/1107,KHAITAN,,,B/259,17/07/2023,,,,,,,
1108,KKR/TS/1108,GANESH,MANISH,17/07/2023,B/122,21/07/2023,,,,,,,
1109,KKR/TS/1109,POLAR,BIRENDRA,27/04/2024,MG/38,22/07/2023,,,,,,,
1110,KKR/TS/1110,ORISON,,,MH/18,28/2/2021,,,,,,,
,,ORISON,,,MA/22,18/07/2023,,,,,,,
1111,KKR/TS/1111,ORISON,,,B/182,18/07/2023,,,,,,,
1112,KKR/TS/1112,BAJAJ,,,MH/18,2/2/2021,,,,,,,
,,BERLIA,,,MA/22,,,,,,,,
1113,KKR/TS/1113,USHA (B),,,MC/40,,,,,,,,
,,ORISON,,,MC/22,22/07/2023,,,,,,,
1114,KKR/TS/1114,GANESH (B),,,MC/40,,,NA,,,,,
,,BAJAJ,,,C/50,22/07/2023,,,,,,,
1115,KKR/TS/1115,GANESH (B),,,,,,NA,,,,,
1116,KKR/TS/1116,BAJAJ,MANISH,27/07/2023,B/86,28/07/2023,,,,,,,
1117,KKR/TS/1117,BERLIA,,,MI/20,08/03/2010,,,,,,,
,,GANESH,,,MB/36,31/07/2023,,,,,,,
1118,KKR/TS/1118,ORISON ,,,MI/20,08/03/2010,,,,,,,
,,,,,MV/25,01/08/2023,,,,,,,
1119,KKR/TS/1119,ORISON,MANISH,30/07/2023,B/149,03/08/2023,,,,,,,
1120,KKR/TS/1120,GANESH ,,,MV/18,28/04/2022,,,,,,,
,,ORISON,,,C/25,01/08/2023,,,,,,,
1121,KKR/TS/1121,ORISON,MANISH,02/08/2023,MW/35,03/08/2023,,,,,,,
1122,KKR/TS/1122,AMIT,MANISH,02/08/2023,,,,NA,,,,,
,,ORISON,,,B/213,08/04/2023,,,,,,,
1123,KKR/TS/1123,KHAITAN,MANISH,06/08/2023,B/257,08/08/2023,,,,,,,
1124,KKR/TS/1124,BAJAJ ,,,MV/18,28/04/2022,,,,,,,
1125,KKR/TS/1125,GANESH,MANISH,04/12/2023,MV/13,13/08/2023,30/11/2023,,,,,,
,,,MANISH,05/08/2023,MH/06,06/12/2023,,,,,,,
1126,KKR/TS/1126,USHA (B),MANISH,13/08/2023,ME/29,14/08/2023,,,,,,,
1127,KKR/TS/1127,BAJAJ,MANISH,02/08/2023,B/257,08/08/2023,,,,,,,
1128,KKR/TS/1128,ORIENT,MANISH,06/08/2023,,,,NA,,,,,
1129,KKR/TS/1129,GANESH (B),,,MI/39,14/4/2021,,,,,,,
,,ORISON,,,B/47,08/08/2023,,,,,,,
1130,KKR/TS/1130,MAHINDRA ,MANISH,08/08/2023,B/158,25/11/2021,,,,,,,
1131,KKR/TS/1131,ORISON,MANISH,07/08/2023,,,,NA,,,,,
1132,KKR/TS/1132,GANESH (B),,,MI/39,14/4/2021,,,,,,,
,,ORISON,,,MW/15,8/8/2023,,,,,,,
1133,KKR/TS/1133,BERLIA,,,B/69,08/08/2023,,,,,,,
1134,KKR/TS/1134,ORISON,,,MD/27,09/08/2023,12/05/2024,,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
1135,KKR/TS/1135,USHA (B),,,MG/10,25/09/2021,,NA,,,,,
,,ORISON,,,B/302,10/08/2023,,,,,,,
1136,KKR/TS/1136,BAJAJ,,,MG/10,25/09/2021,,,,,,,
,,ORISON,,,B/302,10/08/2023,,,,,,,
1137,KKR/TS/1137,ORISON,,,MG/10,25/09/2021,,,,,,,
1138,KKR/TS/1138,GANESH (B),,,B/302,10/08/2023,10/10/2023,,,,,,
1139,KKR/TS/1139,USHA (B),,,,,,NA,,,,,
,,BAJAJ,,,B/302,10/08/2023,,,,,,,
1140,KKR/TS/1140,GANESH,MANISH,12/08/2023,MB/25,01/09/2023,,,,,,,
1141,KKR/TS/1141,BAJAJ,,,MI/39,18/5/2021,,,,,,,
,,ORISON,,,MW/18,14/08/2023,,,,,,,
1142,KKR/TS/1142,ORISON,MANISH,16/08/2023,B/232,17/08/2023,,,,,,,
1143,KKR/TS/1143,BAJAJ,MANISH,14/08/2023,B/290,15/08/2023,,,,,,,
1144,KKR/TS/1144,GANESH (B),,,,,,NA,,,,,
,,,NEERAJ ,17/05/2024,,,,,,,,,
1145,KKR/TS/1145,ORISON,,,B/197,15/10/2023,,,,,,,
1146,KKR/TS/1146,GANESH,,,B/197,15/10/2023,,,,,,,
1147,KKR/TS/1147,ORIENT,,,B/197,15/10/2023,,,,,,,
1148,KKR/TS/1148,CROMPTON,MANISH,17/08/2023,MD/10,18/08/2023,,,,,,,
1149,KKR/TS/1149,ZOLTA,MANISH,17/08/2023,MJ/11,20/08/2023,,,,,,,
1150,KKR/TS/1150,ORISON,MANISH,17/08/2023,B/81,7/3/2024,,,,,,,
1151,KKR/TS/1151,BAJAJ,MANISH,18/08/2023,MC/01,20/08/2023,,,,,,,
1152,KKR/TS/1152,CROMPTON,,,MX/36,18/08/2023,,,,,,,
,,KHAITAN,,,MB/39,22/08/2023,,,,,,,
1153,KKR/TS/1153,BERLIA,,,MH/08,25/08/2023,,,,,,,
1154,KKR/TS/1154,USHA,MANISH,22/08/2023,,,,NA,,,,,
,,,MANISH,04/09/2023,,,,,,,,,
1155,KKR/TS/1155,ORISON,MANISH,22/08/2023,B/160,31/08/2023,08/11/2023,,,,,,
,,,MANISH,30/08/2023,,,,,,,,,
1156,KKR/TS/1156,GANESH,MANISH,25/08/2023,B/316,26/08/2023,,,,,,,
1157,KKR/TS/1157,ORISON,,,MADARSHA,30/08/2023,,,,,,,
1158,KKR/TS/1158,BERLIA,,,B/221,27/08/2023,,,,,,,
1159,KKR/TS/1159,ORIENT,MANISH,16/10/2023,MADARSHA,23/08/2023,,,,,,,
1160,KKR/TS/1160,USHA,MANISH,30/08/2023,,,,NA,,,,,
1161,KKR/TS/1161,BAJAJ,MANISH,30/08/2023,,,,NA,,,,,
1162,KKR/TS/1162,BAJAJ,MANISH,07/10/2023,B/231,07/10/2023,,,,,,,
1163,KKR/TS/1163,KHAITAN,MANISH,28/08/2023,,,,28/08/2023 ARPIT TO SS/01,,,,,
1164,KKR/TS/1164,ORISON,MANISH,28/08/2023,,,,NA,,,,,
1165,KKR/TS/1165,ORISON,,,MI/11,,,,,,,,
1166,KKR/TS/1166,GANESH,MANISH,28/08/2023,B/87,27/08/2023,,,,,,,
1167,KKR/TS/1167,ORISON ,,,,,,,,,,,
,,,,,MADARSHA,30/08/2023,,,,,,,
1168,KKR/TS/1168,USHA,,,,,,NA,,,,,
,,ORISON,,,MADARSHA,30/08/2023,,,,,,,
1169,KKR/TS/1169,ORISON,MANISH,30/08/2023,B/186,30/08/2023,,,,,,,
1170,KKR/TS/1170,ORISON,COIL CUT/26022024,,,,,,,,,,
,,,PAWAN,29/05/2024,B/92,01/09/2023,27/01/2024,,,,,,
1171,KKR/TS/1171,ANCHOR,,,B/92,02/09/2023,,,,,,,
,,ORISON ,MANISH,04/09/2023,DAV,,,,,,,,
1172,KKR/TS/1172,ORISON,MANISH,04/09/2023,MI/14,05/09/2023,,,,,,,
1173,KKR/TS/1173,ORISON,MANISH,04/09/2023,MI/14,05/09/2023,,,,,,,
,,ORIENT ,,,B/295,20/09/2023,01/10/2023,,,,,,
,,,MANISH,10/10/2023,,,,,,,,,
1174,KKR/TS/1174,ORIENT ,,,,,,,,,,,
,,BAJAJ,,,B/96,09/07/2023,,,,,,,
1175,KKR/TS/1175,GANESH,MANISH,09/09/2023,MD/18,10/09/2023,,,,,,,
,,USHA,,,MJ/17,20/09/2023,,,,,,,
